Model,Val Accuracy,Val Loss,Val Accuracy (%)
MobileNetV2 Fine-Tuned,0.7458333373069763,0.7571755051612854,74.58
MobileNetV2,0.7333333492279053,0.5860148072242737,73.33
VGG16,0.6458333134651184,0.924741804599762,64.58
Custom CNN,0.4541666805744171,2.533444881439209,45.42
