,precision,recall,f1-score,support
C1,0.6,0.9375,0.7317073170731707,80.0
C2,0.0,0.0,0.0,80.0
C3,0.2956521739130435,0.425,0.3487179487179487,80.0
accuracy,0.45416666666666666,0.45416666666666666,0.45416666666666666,0.45416666666666666
macro avg,0.2985507246376811,0.45416666666666666,0.36014175526370645,240.0
weighted avg,0.2985507246376812,0.45416666666666666,0.36014175526370645,240.0
