,precision,recall,f1-score,support
C1,0.71875,0.575,0.6388888888888888,80.0
C2,0.6610169491525424,0.975,0.7878787878787878,80.0
C3,0.5344827586206896,0.3875,0.4492753623188405,80.0
accuracy,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.6458333333333334
macro avg,0.6380832359244106,0.6458333333333333,0.6253476796955058,240.0
weighted avg,0.6380832359244106,0.6458333333333334,0.6253476796955059,240.0
