,precision,recall,f1-score,support
C1,0.9629629629629629,0.975,0.9689440993788819,80.0
C2,0.5982905982905983,0.875,0.7106598984771574,80.0
C3,0.7380952380952381,0.3875,0.5081967213114755,80.0
accuracy,0.7458333333333333,0.7458333333333333,0.7458333333333333,0.7458333333333333
macro avg,0.7664495997829331,0.7458333333333335,0.7292669063891717,240.0
weighted avg,0.7664495997829331,0.7458333333333333,0.7292669063891716,240.0
