,precision,recall,f1-score,support
C1,0.9868421052631579,0.9375,0.9615384615384615,80.0
C2,0.5735294117647058,0.975,0.7222222222222222,80.0
C3,0.8214285714285714,0.2875,0.42592592592592593,80.0
accuracy,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
macro avg,0.7939333628188118,0.7333333333333334,0.7032288698955366,240.0
weighted avg,0.7939333628188117,0.7333333333333333,0.7032288698955366,240.0
